Date,Close
2025-01-01,23742.900390625
2025-01-02,24188.650390625
2025-01-03,24004.75
2025-01-06,23616.05078125
2025-01-07,23707.900390625
2025-01-08,23688.94921875
2025-01-09,23526.5
2025-01-10,23431.5
2025-01-13,23085.94921875
2025-01-14,23176.05078125
2025-01-15,23213.19921875
2025-01-16,23311.80078125
2025-01-17,23203.19921875
2025-01-20,23344.75
2025-01-21,23024.650390625
2025-01-22,23155.349609375
2025-01-23,23205.349609375
2025-01-24,23092.19921875
2025-01-27,22829.150390625
2025-01-28,22957.25
2025-01-29,23163.099609375
2025-01-30,23249.5
2025-01-31,23508.400390625
2025-02-03,23361.05078125
2025-02-04,23739.25
2025-02-05,23696.30078125
2025-02-06,23603.349609375
2025-02-07,23559.94921875
2025-02-10,23381.599609375
2025-02-11,23071.80078125
2025-02-12,23045.25
2025-02-13,23031.400390625
2025-02-14,22929.25
2025-02-17,22959.5
2025-02-18,22945.30078125
2025-02-19,22932.900390625
2025-02-20,22913.150390625
2025-02-21,22795.900390625
