Date,TCS.NS,TATAMOTORS.NS,TATASTEEL.NS,TITAN.NS,TATACONSUM.NS,TATAPOWER.NS
2025-01-01,,,,,,
2025-01-02,,,,,,
2025-01-03,,,,,,
2025-01-06,,,,,,
2025-01-07,,,,,,
2025-01-08,,,,,,
2025-01-09,,,,,,
2025-01-10,,,,,,
2025-01-13,,,,,,
2025-01-14,,,,,,
2025-01-15,,,,,,
2025-01-16,,,,,,
2025-01-17,,,,,,
2025-01-20,51.911313384675694,57.56478403359984,41.23533949195334,62.519484105635506,68.1488283681784,40.647859288745764
2025-01-21,49.26701909040997,53.203340439928866,38.623139874714326,59.18404690094303,71.22951381471418,37.31414282636391
2025-01-22,52.62877443256871,43.863519176345115,34.70941069816921,46.03368507364141,66.08438309425483,33.055942688464754
2025-01-23,56.71256731627958,38.59120947282707,37.33756419687347,43.17658611267102,67.91618715106476,34.71596223525174
2025-01-24,57.409910546524586,37.62841201913569,45.30771971029446,40.874453221910294,68.1727397677488,41.849277397155255
2025-01-27,55.940950144974764,27.006888499953277,37.557684250381676,27.994303286369785,53.76306675042884,37.20818923867716
2025-01-28,49.76932001059458,32.2512022685968,43.227753934485904,30.597433809993632,49.8762898519707,36.90926612694568
2025-01-29,57.978141049141904,43.005583184122564,51.492299413622675,37.060509870753144,46.409877390851015,42.17391958158766
2025-01-30,41.129316180260034,34.2828261704811,56.84092637901268,41.12851591090232,47.77697405824683,47.76357090253417
2025-01-31,39.75348341581401,42.82188186048941,72.5067341101001,61.4532329788186,65.76146286879089,63.66165523856363
2025-02-01,41.10665675663121,36.28565542152463,62.785783478185316,70.50483805121912,73.12527746279815,57.459274424907434
2025-02-03,38.87917909298785,34.48136294829489,60.853534913979054,70.43255481125686,65.73157010941155,43.5473870037252
2025-02-04,46.73731286360017,37.6212679916924,61.36088900315312,72.77070286452383,70.02905822615858,45.991803644610314
2025-02-05,46.741926333120574,37.88639583376079,58.879312669482964,54.47799461848566,62.518005448343196,45.64193496556258
2025-02-06,50.52508304210972,37.59586477339053,51.85808916869108,44.305661023426595,62.854237485543806,44.64074984822087
2025-02-07,49.33193145141306,39.20431721884656,65.66026414562313,48.2305830023002,60.420220685288626,50.76825389382537
2025-02-10,33.811353163657984,40.37471593579458,58.263397138259656,40.39686400239473,62.668638045309116,49.593499658943564
2025-02-11,28.93696947560599,35.13029495512271,49.61148414470419,33.413525648682466,56.37798285442142,41.984735833875405
2025-02-12,26.933574559009315,39.61594339156326,53.62856500119019,31.67994770708411,57.730475302324734,41.05263871756214
2025-02-13,30.184076347238104,43.33332868834298,63.87641312694231,34.85440731365935,62.82051704454661,47.27273549295034
2025-02-14,36.513625228013446,38.50241457579362,58.326231671414135,33.08014452793046,64.0596341641303,44.206543212723595
2025-02-17,23.00999909577621,32.5383984903893,55.26711882704819,30.177664262258276,64.39550678093877,40.8149677537198
2025-02-18,21.127700630470784,44.73589184862365,55.17241379310345,29.71189221802085,63.98235546247221,41.74886276448551
2025-02-19,15.044746974497286,35.30149071231327,51.85185185185185,10.871388235391322,50.204217816997826,38.25784046225073
2025-02-20,16.239535434458347,42.94141128563478,58.07066847705959,10.454573894700474,26.620629203634294,43.31415588984939
2025-02-21,17.671319938701018,43.86567931232718,63.553651214017734,10.214607975228844,34.119929038344736,51.758422307864244
